,CID005093-1,CID005215-1,CID005217-1,CID005219-1,CID005222-1,CID005224-1,CID005225-1,CID005416-1,CID005418-1,CID005420-1,CID005422-1,CID005424-1,CID005425-1,CID005614-1,CID005616-1,CID005618-1,CID005620-1,CID005844-1,CID005845-1,CID005860-1,CID005868-1,CID005874-1,CID005875-1,CID006320-1,CID006322-1,CID006328-1,CID006331-1,CID006336-1,CID006340-1,CID006468-1,CID006469-1,CID006478-1,CID006480-1,CID006484-1,CID006486-1,CID006493-1,CID006494-1,CID006494-2,CID006515-1,CID006527-1,CID006542-1,CID006544-1,CID006548-1,CID006551-1,CID007329-1,CID007330-1,CID007338-1,CID007346-1,CID007352-1,CID007358-1,CID007659-1,CID007661-1,CID007664-1,CID007665-1,CID007666-1,CID007667-1,CID007672-1,CID007676-1,CID007681-1,CID007688-1,CID007694-1,CID007697-1,CID007704-1,CID007707-1,CID007825-1,CID007827-1,CID007829-1,CID007845-1,CID007847-1,CID007849-1,CID008109-1,CID008114-1,CID008122-1,CID008457-1,CID008459-1,CID008460-1
Other,0.0007470670662908651,0.07243155156220155,0.007911642714503401,0.0007504362690120332,0.007496069228590755,0.010855413255308494,0.0,0.006625748058943683,0.07216498336721022,0.010663159900665756,0.0,0.00332311956747189,0.003362891163228265,0.005708186263965349,0.007760916390633576,0.004251010725885483,0.006734109135801596,0.0031159465660603285,0.034210677311698585,0.00231355724411674,0.001983122585463651,0.0,0.0018607507557514547,0.0035670431467764905,0.0,0.004030861298360473,0.01449879268243398,0.00431446124245686,0.006642659749799358,0.014152510759988097,0.01315973241496189,0.0006486708713968389,0.004037642594643695,0.003005953038602934,0.00933733646569017,0.010101622196647614,0.0007223845344083237,0.008157050018022487,0.007416005750741161,0.0,0.008499461347740234,0.006702204532316004,0.0029118205188235274,0.01377608086074004,0.0004216423179409892,0.011270813300387688,0.0037844889866121252,0.013772591027745881,0.015477268207637526,0.007498114836465982,0.005229740613126787,0.01392757362730863,0.014076909669937368,0.0,0.005519212703582848,0.006570626466466135,0.014317323610356697,0.009500576554555282,0.0037960333977284147,0.010642649085663619,0.004376889160186261,0.005215403213615348,0.006300838980386463,0.0073710694208958035,0.013156249017371524,0.014329704059732851,0.012456815331173482,0.005612597519805197,6.639045489349802e-06,0.0017701802305313662,0.017007133334675288,0.007415748502663124,0.009115663407742046,0.003806804653444846,0.008251861354609877,0.00843124933901509
Basophils,0.005265737368852548,0.004388491156419834,0.0029729605744826665,0.00814839253377942,0.004299784780395201,0.007101232233310761,0.005443414642890678,0.0024629105132961027,0.00535242326084755,0.005266443194514103,0.0054870751762120164,0.004230960010039235,0.016753348335718888,0.006458274895893281,0.004711571864259839,0.0034320302205816727,0.0037637362526275766,0.027096930133359256,0.0024801839647028614,0.0023939344749016565,0.0038873963339088324,0.003977035122576539,0.005057892341188463,0.004046580165974394,0.004625850330872376,0.010305126229767219,0.004135649981327117,0.005155076754564344,0.004796335016953336,0.0034627144356688495,0.006181160701280984,0.007397361578779708,0.004226762701015749,0.0037549470263315335,0.008064937978626657,0.002995471037869212,0.011474769567794852,0.010797029630874515,0.00503394944305114,0.005027451812637488,0.002158072543642902,0.006099728821259441,0.0031182098667820214,0.003908843028476425,0.0038926078920507833,0.008839241097629999,0.003736237715656189,0.0014838467769933534,0.003124919719237962,0.004157547503388673,0.004549324449892532,0.0029052138375696315,0.010774270085013327,0.0067114161405238005,0.006698998454648747,0.0027379647041517793,0.01782415372743856,0.0038612981968776175,0.0060444151797057356,0.008600092902059759,0.004352353727615647,0.0,0.006481136977617239,0.003160071089426544,0.004617119703039118,0.005057263842496927,0.007551156393460236,0.004781186224665033,0.003660369978202794,0.00465629561728177,0.0022824817585558824,0.004156300947806075,0.002781281603821442,0.0034008274898846527,0.005719819541082595,0.001575512020494326
CD8_T_cells,0.10933707556526344,0.09233567067605362,0.03995689123770205,0.13180877967067964,0.07362343378539937,0.131459587043426,0.09595837748353431,0.022581495836211902,0.09869818101510028,0.09916804267180937,0.08818616747375092,0.07074196912098195,0.08429378278011472,0.07032819467768311,0.061953906924176926,0.07997458570361234,0.0750989293025323,0.13389049283134055,0.03835393532400165,0.05362126673419947,0.056428306466651354,0.07374664212074204,0.07269188872695513,0.10292545766045944,0.09911882421458486,0.03630473105343161,0.07992358606204303,0.03913941056188456,0.08437266174690009,0.08132389255610875,0.04400879361044079,0.05058520137638295,0.10306034711529022,0.0955745869883467,0.0877311032768879,0.047436364225274495,0.09621279170567275,0.07022742245731753,0.10074284462692165,0.0664805019477352,0.029362255302624804,0.09809455141700468,0.06038339440831735,0.10223754143884,0.03988539220695175,0.08619128885102506,0.07549797468262007,0.031061441967423747,0.07493313419351362,0.08703793602655624,0.09384778233420431,0.08917950373694628,0.14513871813590595,0.12785657681425167,0.11635228906033972,0.06661303048671055,0.05278561458321468,0.07399619749741045,0.10677085718980045,0.1292483197213914,0.08001271334297431,0.05697341609062349,0.06117423882295003,0.040106603880435875,0.07823113352137415,0.05260805270881025,0.13925989298888666,0.05583833256527764,0.06647356015778842,0.0726447086462044,0.050565543160718214,0.0872490956844804,0.02539630894942897,0.07943871386186653,0.11776932431930152,0.020470510787946258
Classical_monocytes,0.003886442378926729,0.0,0.0026653163334344906,0.004594387899453515,0.004121626543139747,0.003708098264439504,0.005604038810219662,0.004597508686283012,0.0022244473724388645,0.004082173465474994,0.0014694197250976608,0.0024716794705006103,0.006599465924941562,0.004817707564352286,0.0017902429582085941,0.00553866598358889,0.00482491027289719,0.008802520012470982,0.0005959504554703462,0.004637673547954647,0.002039430130574441,0.00914135205640431,0.005843396455110274,0.006135104679819682,0.004839803407402146,0.0038009124968816487,0.004213799529936781,0.002835561900187489,0.00664188490635782,0.007512480464462675,0.0017775800592641508,0.006288964515279237,0.0031853463682188794,0.004237946196679486,0.004161070621725598,0.0037647527438530023,0.0038704598952835757,0.0003380218103005833,0.002649935014944371,0.004131502638763487,0.002134660893565532,0.0054321375685207575,0.003048771989154817,0.0038860297608600456,0.006564219756378316,0.004597855307678506,0.005962097010383264,0.0031431495069586383,0.0070934706876345744,0.0037847388347268824,0.004252601291661156,0.0037729517971749286,0.007298518461547187,0.004926591808137581,0.005567973657740498,0.003278942931074998,0.003916086253908234,0.005054731583192225,0.002557392192723095,0.003204605119031056,0.0069153549871286924,0.0031633947961435885,0.005784581349212928,0.003371768780250435,0.0026575330314736125,0.0050166381877370545,0.005528452935649024,0.0029740015551217107,0.0025719893520972795,0.00423331513715436,0.005666048007070081,0.0036945087832024135,0.0014912378147233804,0.008099112453500971,0.0032587476980584927,0.0015699174806348278
Endothelium,0.2257217472753814,0.12058138444506625,0.24535574064801394,0.22583032355402927,0.24601162663860854,0.24586528405051375,0.2223743291398747,0.2500012868494087,0.3127297467647526,0.27525852550368507,0.21242678729150105,0.2207991053236815,0.23126653229307637,0.24383078768708744,0.25754097422505345,0.2244818070466172,0.24226800473903737,0.20971708366105846,0.06086398877859947,0.23810398506501487,0.24097707746275882,0.21091487617244395,0.21958829426082865,0.23608218436812756,0.22495543524400594,0.24559531101969004,0.2499270066536916,0.23529426469899517,0.23755848140230024,0.27019609245231974,0.25361195887497007,0.23605599259137341,0.27024490284982206,0.23205745897864857,0.2619048801611702,0.2541209025412524,0.22741607570209674,0.2569725113004084,0.2453048047966191,0.20852698334528644,0.25324365141634775,0.24605696581120307,0.23690664054502664,0.28068119729276775,0.2662737518134495,0.2603607649536512,0.24112631922015096,0.2671363260088194,0.2805141888258883,0.24002958885230655,0.22472605964179057,0.26110139890761186,0.2548302485203552,0.23176141768455683,0.25476352356957255,0.22451609066187903,0.2559568682296835,0.2643609950377867,0.25165157063910465,0.26817594578935966,0.25084843827041237,0.22714853168040663,0.25608383204142254,0.24207013090751173,0.25540797219122763,0.25203774742690793,0.232345685804831,0.240782388870101,0.22160669773914643,0.23051082623366606,0.2621783936141077,0.22143744195245135,0.24362449010609646,0.2389837494865773,0.24452107933056097,0.3003490840851418
Fibroblasts,0.33459390651421334,0.0,0.27945964991772587,0.3048649375521643,0.3003028736825395,0.22910882299133672,0.3508761801322167,0.35724150131915133,0.2582549455659748,0.33072026088066486,0.2816150420095731,0.3131907518578694,0.2936113910725013,0.33904196637800277,0.31137789936375637,0.32592470186603073,0.3184538377430722,0.28029518722358976,0.37569510978167403,0.30399355663115674,0.2677374844075695,0.2873887040383857,0.3176602396535401,0.30267866560899864,0.31139813484416184,0.3583391811412458,0.2360722340938892,0.32571398769944737,0.2325814947163438,0.20472638034324475,0.23921819682910336,0.3065392005654678,0.23840336144390323,0.2584579891191299,0.2549950886562895,0.30200078293113786,0.29207075791689735,0.2627229765031362,0.2665293396360371,0.3064627964469132,0.27433264240952265,0.26002858340010765,0.25383431484406765,0.23286016024915343,0.32048319953892396,0.35830323363999017,0.31231501308824317,0.3137229407182694,0.2963071761996479,0.25989719331436517,0.3040539148140895,0.22849591666486044,0.29664351759933544,0.265356078690013,0.2436027967938567,0.30545177786724176,0.2771940524221594,0.32113147216912885,0.18609422224629352,0.2861029751639789,0.25958654940955306,0.32957593232682214,0.29603352156575713,0.26798583868052145,0.21140893276775477,0.20913815677833844,0.21947330311062418,0.2822305469081499,0.3050000777154651,0.28212510629298027,0.2715593872157448,0.2625041599154557,0.319646269312215,0.3120030626200743,0.2780352371367743,0.2776287461175531
NK_cells,0.044514454789627046,0.13342809648306841,0.0619692631481624,0.04511750858393778,0.057161930713122644,0.04015642811313149,0.06173552459815136,0.05827010850648438,0.03174967497467558,0.028973406515793103,0.054112991953184086,0.035827690195848465,0.05052019975491676,0.05840246957216668,0.04959636044594524,0.059223779426555254,0.06031607262915003,0.0456981641892386,0.052690926670239724,0.06759446876574565,0.036085631365284594,0.06763094076583949,0.07157120186683724,0.07327665682622574,0.06320689517432489,0.05392121789891145,0.06016527450607757,0.07697383575745581,0.07215118470522217,0.08018190626845953,0.09664550212457407,0.0699023915047205,0.06609379318022272,0.05989474710208645,0.07253923197885921,0.08529863802289223,0.06228166960571328,0.06291863324638945,0.06247596401093978,0.04207422798030266,0.07310495868349803,0.08254854279957524,0.06866086385069291,0.050800203311923364,0.07172179764630589,0.06378365063578266,0.08787147441286244,0.06544527313299182,0.044662934371203,0.06703210096369062,0.058537883622510486,0.0835056012409401,0.05225156219474164,0.04901248853376728,0.059248282358620556,0.06097058368271478,0.026494978580909708,0.04868434007115614,0.07019330752240263,0.024974201528601924,0.06528212904223087,0.048590241248764626,0.09120039850427675,0.03656181295447066,0.08894727534896056,0.06821459045782269,0.05634814599410302,0.07167058438627484,0.05815382985092544,0.04901804443232607,0.05815797530969102,0.05795988990741097,0.07795169065828697,0.05338536590461919,0.05545140999516065,0.06037085785248023
Naive_B_cells,0.10076766764460704,0.3251173229259829,0.16323652336266012,0.08570480838016012,0.1174573619241453,0.13675644475732937,0.1270600391318277,0.10990260293704562,0.14148672739719767,0.13220824285818455,0.17138193064122295,0.17171696663512595,0.10973503003015765,0.10423772532203654,0.13893156536765,0.12429754003118756,0.1147488217809493,0.11209150136490377,0.2055412579803601,0.12910319564909153,0.21389363774664769,0.14253434122327954,0.11607342135712384,0.10150404614978127,0.11464018776497449,0.10305751109203727,0.1528502266928112,0.1165045594433727,0.1487287905983506,0.1161345035070738,0.12516655787791803,0.13569754579305845,0.13793695051994567,0.142844787904848,0.12988648067163996,0.11807185539046737,0.12506094401738424,0.14206392397663525,0.1323202744598691,0.2275755136639491,0.128316232194264,0.1031389154679441,0.166834613516746,0.18022241975236356,0.09865803974723632,0.07234400994493868,0.09375784318065866,0.13461759800402856,0.10766547755534253,0.14117665730220944,0.11730794464968311,0.13050326954779612,0.07650791980142731,0.10993204008022867,0.10266719036088211,0.14202258099347997,0.1582978828540621,0.09991662920041045,0.1510457998147831,0.16254048208650024,0.1321346489909169,0.15389963157856035,0.09286373544613563,0.18817026369703707,0.1573961318853188,0.16888688178282113,0.1380133346034901,0.14371096138704242,0.13755602472581013,0.1477623526810966,0.10762314797402112,0.16611010217632907,0.17234350655834246,0.1245415011467108,0.09553481477660346,0.1268490252997961
Neutrophils,0.0,0.018506396026585843,0.00022381010800731721,0.0,0.005014561428334922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005053770694788128,0.0,0.0,0.00015565650794073464,0.003309894516002436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022952871731790917,0.0,0.003799220251804543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013948771082767655,0.0,0.0,0.0,0.0009773469155322809,0.0,0.0029982641092557104,0.0,0.0,0.0,0.00039800194164386454,0.0,0.0025215250452552728,0.0,0.0,0.0,0.0,0.006852809080912596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.046536064800028e-05,0.0,0.004036080743339631,0.003248400658539488,0.0,0.0,2.6265541383537322e-06,0.0,0.0,0.0,0.0,0.0
Non_classical_monocytes,0.0063109875223939784,0.0,0.004297018580914766,0.00783355315886399,0.006875022097577952,0.0074551069049683255,0.007471135960536626,0.004718430735829374,0.012540345690919967,0.005234997822457758,0.0025121222300858214,0.005011798969832466,0.012898590702223715,0.0061100249834671,0.003891977830536929,0.009381063844102911,0.00764990426389424,0.014969241752343439,0.0029883949599333096,0.009401418238015503,0.009836594685921777,0.011228792441149604,0.010243362660341171,0.00963654590041528,0.00689158687802877,0.0063575515163463315,0.006920454763921255,0.004175670933350347,0.010496063026638101,0.01272661037861791,0.00671570457369634,0.01101681171949975,0.0074799249224412456,0.006770179419333199,0.007219861366817193,0.008370249496265086,0.007170918049813317,0.0005344072410277966,0.014153319531055825,0.006755281609608721,0.006376704822398188,0.00944334908480465,0.006458143997639232,0.0085874622549462,0.009474852228540666,0.008215582520299547,0.011122429368201311,0.005510543852807106,0.014555369089704276,0.00842506342478252,0.010564448084980976,0.006553397349910669,0.01406992401761957,0.008456332618394659,0.01264943637725646,0.005878192405392539,0.00508024662935692,0.009087080562329087,0.0038487530345566803,0.009198020678875185,0.01069112465464558,0.0047129030647509364,0.012000121558552337,0.012155414689035509,0.007053822018282539,0.01010897263378307,0.010637207073665689,0.004379611763291427,0.00413869949093034,0.008214338834992953,0.01004825613848316,0.008385295865959935,0.0021462208675267045,0.00663265559186913,0.00538261376357562,0.003916426090947716
