,B Cell,Epithelium,Stroma,T Cell,Other1,Other2,rho_Spearman,rho_Pearson
CID005226-1,0.007672974889617274,0.3881211611434738,0.22058441972998402,0.1481275419209769,0.2322209240124166,0.003272978303531413,0.7754172027081465,0.5551984111092273
CID005227-1,0.0036667743056680896,0.44894196985079343,0.2269419400523663,0.19397107242729747,0.12360742909736844,0.0028708142665062704,0.7654661936506699,0.5568240063509535
CID005798-1,0.0033859267309366337,0.049333681069105746,0.4347871801942251,0.1966869803992927,0.18220583527515116,0.13360039633128867,0.7520658093875155,0.6657609663303004
CID005799-1,0.012788717945602683,0.017484130251815787,0.31585134043097,0.22590101328456907,0.08162846872668998,0.3463463293603524,0.7043394437420986,0.5721052270189494
CID005800-1,0.03701919891480298,0.3214299419698155,0.19508236055707637,0.00857567086463532,0.1457561494043233,0.2921366782893465,0.7677361435321777,0.7151439373629015
CID005801-1,0.006902400033038611,0.25621829928966633,0.0020788046325572744,0.32155693115000483,0.4102930890073902,0.002950475887342656,0.7627742596844934,0.6743479899096074
CID006004-1,0.10590888371706056,0.0009502246279026673,0.47232136686480686,0.24913609381098517,0.015950101282698376,0.15573332969654638,0.7927935506772076,0.6760010275420706
CID007374-1,1.2239814674929494e-05,0.00014838555446769155,0.4007517078416414,0.4687937844543861,0.12998656162783942,0.00030732070699047775,0.7104392186139108,0.6369417585951058
CID007376-1,0.010435949066569116,0.2029842393540788,0.1974714359983224,0.2697348895614057,0.09392075502572778,0.22545273099389632,0.7111859443927518,0.42099952827697407
CID007378-1,0.0010668749685115116,0.3975384973472445,0.18105751520757934,0.2907522615831956,0.12716070187888054,0.0024241490145883605,0.7328397846664445,0.5336196491385796
CID007380-1,0.14199095187454377,0.17753293111241142,0.18964824320201862,0.18877255341019678,0.11157374873799965,0.19048157166282983,0.7386113601808897,0.5018582547463004
CID007382-1,0.06976945456768464,0.008210476863998471,0.24126190591121324,0.29405993935134317,0.20465939059590754,0.1820388327098529,0.820077818963082,0.5889094488127731
CID007384-1,0.00067443478650782,0.2674318706035256,0.08181421869826443,0.32610241407282525,0.16126186165056183,0.16271520018831512,0.7633107831283164,0.5981569789574982
CID007386-1,0.0007022503484331138,0.28892741963266677,0.34583478687853103,0.24681175935846522,0.08694233156336538,0.030781452218538532,0.7195337413746052,0.48579728835048674
CID007790-1,0.18163155515400922,0.016111386186760543,0.009694574983632895,0.3088144676481433,0.29102983116187053,0.1927181848655835,0.7352889659271199,0.5626294355291408
CID007792-1,0.0013070580108345195,0.1129943537600189,0.0171750194756615,0.32179268739655165,0.4541420253508634,0.09258885600607013,0.7893353085649683,0.6313028587562747
CID007794-1,0.20439185040473282,0.009439047722478765,0.21687402510220827,0.2003338528823742,0.08256430683336702,0.28639691705483894,0.905651569960338,0.7811441345600516
CID007796-1,0.013841592703200477,0.3293224963353222,0.15748373029423576,0.07831448366150462,0.018857676532469832,0.4021800204732671,0.7133850438959295,0.5362534834327913
CID007798-1,0.01601137386052206,0.010788823109332683,0.3202110880859201,0.2048364004147802,0.2123795535183112,0.23577276101113387,0.844054255977552,0.6118975386455852
CID007800-1,0.0010103781391227005,0.10185942880898821,0.23926533109777143,0.357418500743445,0.061252848640383384,0.23919351257028929,0.8020756536040379,0.660959354517277
CID007802-1,0.10524410354793479,0.019516474277982362,0.2978557402544027,0.3517941949394622,0.05014886947918125,0.1754406175010367,0.8373681757771373,0.6448154815109032
CID007804-1,0.016414144308257068,0.1897353853063807,0.00409763118335801,0.4376737161710476,0.10515938269851989,0.2469197403324367,0.8476916217947608,0.7219672018472346
CID008392-1,0.0009697175873577545,0.32952633899502065,0.08593191305255465,0.2333712155359871,0.3316507239029738,0.01855009092610614,0.855818248273474,0.7348392007476852
CID008394-1,0.0002589095994609442,1.3546902758278571e-05,0.27241659246384803,0.4814855090999801,0.24554890960837555,0.00027653232557708636,0.7927094661985878,0.7763940995111841
CID008396-1,0.05890272325713143,0.025595690246919815,8.355528228082789e-05,0.3847895615930646,0.12842108900817076,0.40220738061243244,0.7522856135359431,0.6886375597567375
CID008398-1,0.002867487559395474,0.16367069934437614,0.260306306535641,0.15520988708858702,0.3866954631722211,0.03125015629977924,0.7187349710482273,0.4830406261967888
CID008400-1,0.0008366599379547518,0.14526525530030793,0.1493811998595827,0.2346948415112244,0.4545318800176628,0.015290163373267513,0.702051217865724,0.46831664471512413
CID008402-1,0.000580338179223493,0.33402255006628806,0.2526605839037494,0.385004871564971,0.01591922446887875,0.01181243181688929,0.7248990942523359,0.5066835186427505
CID008404-1,0.034864418404486515,0.36858357433755723,0.003705155563046426,0.3438046156831559,0.21801210602579282,0.031030129985961035,0.7581334788599916,0.5649230736013086
CID008406-1,0.003533509683742246,0.19749382963230816,0.17101562850935992,0.5548714153834162,0.06796135842700202,0.005124258364171416,0.6775210924219153,0.462059910171549
